URL: /
Timestamp: Tue Oct 25 2022 15:47:22 GMT-0400 (Eastern Daylight Time)

URL: /
Timestamp: Tue Oct 25 2022 15:50:43 GMT-0400 (Eastern Daylight Time)

URL: /
Timestamp: Tue Oct 25 2022 16:06:32 GMT-0400 (Eastern Daylight Time)

URL: /
Timestamp: Tue Oct 25 2022 16:19:42 GMT-0400 (Eastern Daylight Time)

URL: /favicon.ico
Timestamp: Tue Oct 25 2022 16:19:42 GMT-0400 (Eastern Daylight Time)

URL: /documentation
Timestamp: Tue Oct 25 2022 16:19:49 GMT-0400 (Eastern Daylight Time)

URL: /favicon.ico
Timestamp: Tue Oct 25 2022 16:19:49 GMT-0400 (Eastern Daylight Time)

::1 - - [11/Jan/2023:21:24:14 +0000] "POST /users/emirgarilao/movies/639894ec2bb09b67ea11758b HTTP/1.1" 404 189
::1 - - [11/Jan/2023:21:25:18 +0000] "POST /users/gelairicafort/movies/639894ec2bb09b67ea11758b HTTP/1.1" 404 191
::1 - - [11/Jan/2023:21:33:19 +0000] "POST /users/gelairicafort/movies/639894ec2bb09b67ea11758b HTTP/1.1" 404 191
::1 - - [11/Jan/2023:21:33:23 +0000] "GET /movies HTTP/1.1" 200 10360
::1 - - [11/Jan/2023:21:33:26 +0000] "GET /movies/Titanic HTTP/1.1" 200 811
::1 - - [11/Jan/2023:21:38:19 +0000] "DELETE /users/nikkitorres/movies/6398ae9b2bb09b67ea117593 HTTP/1.1" 200 198
::1 - - [11/Jan/2023:21:38:32 +0000] "DELETE /users/nikkitorres/movies/6398ae9b2bb09b67ea117593 HTTP/1.1" 200 198
::1 - - [11/Jan/2023:21:39:22 +0000] "GET /users HTTP/1.1" 201 917
::1 - - [11/Jan/2023:21:40:05 +0000] "DELETE /users/davidyam HTTP/1.1" 200 20
::1 - - [11/Jan/2023:21:45:34 +0000] "PUT /users/StubbyG HTTP/1.1" 200 176
::1 - - [12/Jan/2023:00:10:32 +0000] "POST /users/gelairicafort/movies/639894ec2bb09b67ea11758b HTTP/1.1" 404 191
::1 - - [12/Jan/2023:00:15:31 +0000] "POST /users/gelairicafort/movies/639894ec2bb09b67ea11758b HTTP/1.1" 404 191
::1 - - [12/Jan/2023:00:28:39 +0000] "POST /users/gelairicafort/movies/639894ec2bb09b67ea11758b HTTP/1.1" 200 203
